title,authors,abstract,published_date,year,journal,url,pdf_url,categories,citation,citation_count,search_term,authors_raw,doi
Analisis Sistem Pendukung Keputusan Dengan Model Klasifikasi Berbasis Machine Learning Dalam Penentuan Penerima Program Indonesia Pintar,A Nata; S Suparmadi,… penerima bantuan Program Indonesia Pintar (PIP) di SMP Tamansiswa Sukadamai. Peneliti akan membandingkan model klasifikasi berbasis machine learning seperti metode k-…,2022,2022,Journal of Science and Social …,http://jurnal.goretanpena.com/index.php/JSSR/article/view/1041,https://jurnal.goretanpena.com/index.php/JSSR/article/download/1041/814,Journal of Science and Social …,A Nata & S Suparmadi. (2022). Analisis Sistem Pendukung Keputusan Dengan Model Klasifikasi Berbasis Machine Learning Dalam Penentuan Penerima Program Indonesia Pintar. *Journal of Science and Social …*. http://jurnal.goretanpena.com/index.php/JSSR/article/view/1041,0,machine learning,"A Nata, S Suparmadi - Journal of Science and Social …, 2022 - jurnal.goretanpena.com",
Comparison of machine learning methods in classifying poverty in Indonesia in 2018,PR Sihombing; AM Arsani,"… yaitu metode pengklasifikasian model machine learning. Data yang … beberapa metode machine learning di antaranya … dan menerapkan beberapa metode machine learning seperti DT, …",2021,2021,Jurnal Teknik Informatika (Jutif),https://jutif.if.unsoed.ac.id/index.php/jurnal/article/view/52,https://jutif.if.unsoed.ac.id/index.php/jurnal/article/download/52/27,Jurnal Teknik Informatika (Jutif),PR Sihombing & AM Arsani. (2021). Comparison of machine learning methods in classifying poverty in Indonesia in 2018. *Jurnal Teknik Informatika (Jutif)*. https://jutif.if.unsoed.ac.id/index.php/jurnal/article/view/52,0,machine learning,"PR Sihombing, AM Arsani - Jurnal Teknik Informatika (Jutif), 2021 - jutif.if.unsoed.ac.id",
Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,PR Sihombing; IF Yuliati,… 2017 Indonesian Demographic and Health Survey (IDHS). This study will examine the application of several machine learning … the application of several machine learning methods by …,2021,2021,MATRIK: Jurnal …,https://journal.universitasbumigora.ac.id/index.php/matrik/article/view/1174,https://journal.universitasbumigora.ac.id/index.php/matrik/article/download/1174/703,MATRIK: Jurnal …,PR Sihombing & IF Yuliati. (2021). Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia. *MATRIK: Jurnal …*. https://journal.universitasbumigora.ac.id/index.php/matrik/article/view/1174,0,machine learning,"PR Sihombing, IF Yuliati - MATRIK: Jurnal …, 2021 - journal.universitasbumigora.ac.id",
Implementasi Machine Learning pada Sistem Prediksi Kejadian dan Lokasi Patah Rel Kereta Api di Indonesia,NN Hakim,… masyarakat Indonesia … machine learning untuk melakukan penilaian kondisi rel. Metode penilaian yang dimaksud dalam penelitian ini adalah penggunaan model machine learning …,2020,2020,Jurnal Sistem Cerdas,https://apic.id/jurnal/index.php/jsc/article/view/58,https://apic.id/jurnal/index.php/jsc/article/download/58/41,Jurnal Sistem Cerdas,NN Hakim. (2020). Implementasi Machine Learning pada Sistem Prediksi Kejadian dan Lokasi Patah Rel Kereta Api di Indonesia. *Jurnal Sistem Cerdas*. https://apic.id/jurnal/index.php/jsc/article/view/58,0,machine learning,"NN Hakim - Jurnal Sistem Cerdas, 2020 - apic.id",
Perbandingan Metode Klasifikasi Berita Hoaks Berbahasa Indonesia Berbasis Pembelajaran Mesin,M Athaillah; Y Azhar; Y Munarko,… Seleksi fitur adalah proses untuk megurangi jumlah fitur untuk meningkatkan proses komputasi saat pembelajaran mesin [5]. Untuk melakukan seleksi fitur digunakan algoritma …,2020,2020,Jurnal Repositor,https://ejournal.umm.ac.id/index.php/repositor/article/view/30636,https://ejournal.umm.ac.id/index.php/repositor/article/download/30636/13839,Jurnal Repositor,"M Athaillah, Y Azhar, & Y Munarko. (2020). Perbandingan Metode Klasifikasi Berita Hoaks Berbahasa Indonesia Berbasis Pembelajaran Mesin. *Jurnal Repositor*. https://ejournal.umm.ac.id/index.php/repositor/article/view/30636",0,pembelajaran mesin,"M Athaillah, Y Azhar, Y Munarko - Jurnal Repositor, 2020 - ejournal.umm.ac.id",
"… teknik Natural Language Processing (NLP) bahasa Indonesia: Tinjauan tentang sejarah, perkembangan teknologi, dan aplikasi NLP dalam bahasa Indonesia",M Amien,… Pembelajaran mesin merupakan pendekatan yang penting dalam penelitian NLP bahasa Indonesia… bahasa Indonesia meliputi pembelajaran mesin dan pendekatan berbasis kamus. …,2023,2023,arXiv preprint arXiv:2304.02746,https://arxiv.org/abs/2304.02746,https://arxiv.org/pdf/2304.02746,arXiv preprint arXiv:2304.02746,"M Amien. (2023). … teknik Natural Language Processing (NLP) bahasa Indonesia: Tinjauan tentang sejarah, perkembangan teknologi, dan aplikasi NLP dalam bahasa Indonesia. *arXiv preprint arXiv:2304.02746*. https://arxiv.org/abs/2304.02746",0,pembelajaran mesin,"M Amien - arXiv preprint arXiv:2304.02746, 2023 - arxiv.org",
Apakah Pembelajaran Menggunakan Teknologi Dapat Meningkatkan Literasi Manusia Pada Generasi Z Di Indonesia?,LY Hastini; R Fahmi; H Lukito,"… Saat ini telah diterapkan pembelajaran dengan menggunakan teknologi seperti … Indonesia berusaha meningkatkan tiga literasi, yaitu literasi teknologi untuk memahami cara kerja mesin…",2020,2020,Jurnal Manajemen Informatika …,https://ojs.unikom.ac.id/index.php/jamika/article/view/2678,https://ojs.unikom.ac.id/index.php/jamika/article/download/2678/1826,Jurnal Manajemen Informatika …,"LY Hastini, R Fahmi, & H Lukito. (2020). Apakah Pembelajaran Menggunakan Teknologi Dapat Meningkatkan Literasi Manusia Pada Generasi Z Di Indonesia?. *Jurnal Manajemen Informatika …*. https://ojs.unikom.ac.id/index.php/jamika/article/view/2678",0,pembelajaran mesin,"LY Hastini, R Fahmi, H Lukito - Jurnal Manajemen Informatika …, 2020 - ojs.unikom.ac.id",
Metode Pembelajaran Mesin untuk Memprediksi Emisi Manure Management,W Hastomo; N Aini; ASB Karno…,… dua metode pembelajaran mesin LSTM dan gated recurrent unit (GRU) untuk memprediksi manure management dalam memengaruhi emisi GRK di Indonesia dengan menggunakan …,2022,2022,Jurnal Nasional Teknik …,https://www.academia.edu/download/94581375/1656.pdf,https://www.academia.edu/download/94581375/1656.pdf,Jurnal Nasional Teknik …,"W Hastomo, N Aini, & ASB Karno…. (2022). Metode Pembelajaran Mesin untuk Memprediksi Emisi Manure Management. *Jurnal Nasional Teknik …*. https://www.academia.edu/download/94581375/1656.pdf",0,pembelajaran mesin,"W Hastomo, N Aini, ASB Karno… - Jurnal Nasional Teknik …, 2022 - academia.edu",
"Algoritma Pembelajaran Mesin: Dasar, Teknik, dan Aplikasi",RF Putra; IR Mukhlis; AI Datya; SJ Pipin; F Reba…,"… mendalam tentang pembelajaran mesin yang berkembang … data yang krusial sebelum memulai pembelajaran. Dari sini, … pembelajaran dalam (supervised learning) dan algoritma …",2024,2024,2024,https://books.google.com/books?hl=id&lr=&id=MX7-EAAAQBAJ&oi=fnd&pg=PA49&dq=pembelajaran+mesin+indonesia&ots=v7G4T1HBK_&sig=0jgZcfzvvvSjQuzKAxtM1XgFRw4,,2024,"RF Putra, IR Mukhlis, AI Datya, SJ Pipin, & F Reba…. (2024). Algoritma Pembelajaran Mesin: Dasar, Teknik, dan Aplikasi. *2024*. https://books.google.com/books?hl=id&lr=&id=MX7-EAAAQBAJ&oi=fnd&pg=PA49&dq=pembelajaran+mesin+indonesia&ots=v7G4T1HBK_&sig=0jgZcfzvvvSjQuzKAxtM1XgFRw4",0,pembelajaran mesin,"RF Putra, IR Mukhlis, AI Datya, SJ Pipin, F Reba… - 2024 - books.google.com",
Pemanfaatan teknologi chat GPT dalam pembelajaran bahasa indonesia di era digital pada mahasiswa Universitas Pembangunan Nasional Veteran Jawa …,E Sholihatin; ADP Saka; DR Andhika…,"… Dengan menggunakan teknologi pembelajaran mesin, konten pembelajaran digital yang dipersonalisasi juga dapat dihasilkan. Jadi, hal ini dapat meningkatkan efektivitas dan …",2023,2023,JURNAL TUAH …,https://jtuah.ejournal.unri.ac.id/index.php/JTUAH/article/download/8032/6678,https://jtuah.ejournal.unri.ac.id/index.php/JTUAH/article/download/8032/6678,JURNAL TUAH …,"E Sholihatin, ADP Saka, & DR Andhika…. (2023). Pemanfaatan teknologi chat GPT dalam pembelajaran bahasa indonesia di era digital pada mahasiswa Universitas Pembangunan Nasional Veteran Jawa …. *JURNAL TUAH …*. https://jtuah.ejournal.unri.ac.id/index.php/JTUAH/article/download/8032/6678",0,pembelajaran mesin,"E Sholihatin, ADP Saka, DR Andhika… - JURNAL TUAH …, 2023 - jtuah.ejournal.unri.ac.id",
