title,authors,abstract,published_date,year,categories,pdf_url,arxiv_id,source,citation_count,journal
How Well Does GPT-4o Understand Vision? Evaluating Multimodal Foundation Models on Standard Computer Vision Tasks,"Rahul Ramachandran, Ali Garjani, Roman Bachmann, Andrei Atanov, Oğuzhan Fatih Kar, Amir Zamir","Multimodal foundation models, such as GPT-4o, have recently made remarkable
progress, but it is not clear where exactly these models stand in terms of
understanding vision. In this paper, we benchmark the performance of popular
multimodal foundation models (GPT-4o, o4-mini, Gemini 1.5 Pro and Gemini 2.0
Flash, Claude 3.5 Sonnet, Qwen2-VL, Llama 3.2) on standard computer vision
tasks (semantic segmentation, object detection, image classification, depth and
surface normal prediction) using established datasets (e.g., COCO, ImageNet and
its variants, etc).
  The main challenges to performing this are: 1) most models are trained to
output text and cannot natively express versatile domains, such as segments or
3D geometry, and 2) many leading models are proprietary and accessible only at
an API level, i.e., there is no weight access to adapt them. We address these
challenges by translating standard vision tasks into equivalent text-promptable
and API-compatible tasks via prompt chaining to create a standardized
benchmarking framework.
  We observe that 1) the models are not close to the state-of-the-art
specialist models at any task. However, 2) they are respectable generalists;
this is remarkable as they are presumably trained on primarily image-text-based
tasks. 3) They perform semantic tasks notably better than geometric ones. 4)
While the prompt-chaining techniques affect performance, better models exhibit
less sensitivity to prompt variations. 5) GPT-4o performs the best among
non-reasoning models, securing the top position in 4 out of 6 tasks, 6)
reasoning models, e.g. o3, show improvements in geometric tasks, and 7) a
preliminary analysis of models with native image generation, like the latest
GPT-4o, shows they exhibit quirks like hallucinations and spatial
misalignments.",2025-07-02,2025,"cs.CV, cs.AI, cs.LG",http://arxiv.org/pdf/2507.01955v1,2507.01955v1,arxiv,0,arXiv preprint
Test-Time Scaling with Reflective Generative Model,"Zixiao Wang, Yuxin Wang, Xiaorui Wang, Mengting Xing, Jie Gao, Jianjun Xu, Guangcan Liu, Chenhui Jin, Zhuo Wang, Shengzhuo Zhang, Hongtao Xie","We introduce our first reflective generative model MetaStone-S1, which
obtains OpenAI o3's performance via the self-supervised process reward model
(SPRM). Through sharing the backbone network and using task-specific heads for
next token prediction and process scoring respectively, SPRM successfully
integrates the policy model and process reward model(PRM) into a unified
interface without extra process annotation, reducing over 99% PRM parameters
for efficient reasoning. Equipped with SPRM, MetaStone-S1 is naturally suitable
for test time scaling (TTS), and we provide three reasoning effort modes (low,
medium, and high), based on the controllable thinking length. Moreover, we
empirically establish a scaling law that reveals the relationship between total
thinking computation and TTS performance. Experiments demonstrate that our
MetaStone-S1 achieves comparable performance to OpenAI-o3-mini's series with
only 32B parameter size. To support the research community, we have
open-sourced MetaStone-S1 at https://github.com/MetaStone-AI/MetaStone-S1.",2025-07-02,2025,"cs.LG, cs.CL",http://arxiv.org/pdf/2507.01951v1,2507.01951v1,arxiv,0,arXiv preprint
Kwai Keye-VL Technical Report,"Kwai Keye Team, Biao Yang, Bin Wen, Changyi Liu, Chenglong Chu, Chengru Song, Chongling Rao, Chuan Yi, Da Li, Dunju Zang, Fan Yang, Guorui Zhou, Hao Peng, Haojie Ding, Jiaming Huang, Jiangxia Cao, Jiankang Chen, Jingyun Hua, Jin Ouyang, Kaibing Chen, Kaiyu Jiang, Kaiyu Tang, Kun Gai, Shengnan Zhang, Siyang Mao, Sui Huang, Tianke Zhang, Tingting Gao, Wei Chen, Wei Yuan, Xiangyu Wu, Xiao Hu, Xingyu Lu, Yang Zhou, Yi-Fan Zhang, Yiping Yang, Yulong Chen, Zhenhua Wu, Zhenyu Li, Zhixin Ling, Ziming Li, Dehua Ma, Di Xu, Haixuan Gao, Hang Li, Jiawei Guo, Jing Wang, Lejian Ren, Muhao Wei, Qianqian Wang, Qigen Hu, Shiyao Wang, Tao Yu, Xinchen Luo, Yan Li, Yiming Liang, Yuhang Hu, Zeyi Lu, Zhuoran Yang, Zixing Zhang","While Multimodal Large Language Models (MLLMs) demonstrate remarkable
capabilities on static images, they often fall short in comprehending dynamic,
information-dense short-form videos, a dominant medium in today's digital
landscape. To bridge this gap, we introduce \textbf{Kwai Keye-VL}, an
8-billion-parameter multimodal foundation model engineered for leading-edge
performance in short-video understanding while maintaining robust
general-purpose vision-language abilities. The development of Keye-VL rests on
two core pillars: a massive, high-quality dataset exceeding 600 billion tokens
with a strong emphasis on video, and an innovative training recipe. This recipe
features a four-stage pre-training process for solid vision-language alignment,
followed by a meticulous two-phase post-training process. The first
post-training stage enhances foundational capabilities like instruction
following, while the second phase focuses on stimulating advanced reasoning. In
this second phase, a key innovation is our five-mode ``cold-start'' data
mixture, which includes ``thinking'', ``non-thinking'', ``auto-think'', ``think
with image'', and high-quality video data. This mixture teaches the model to
decide when and how to reason. Subsequent reinforcement learning (RL) and
alignment steps further enhance these reasoning capabilities and correct
abnormal model behaviors, such as repetitive outputs. To validate our approach,
we conduct extensive evaluations, showing that Keye-VL achieves
state-of-the-art results on public video benchmarks and remains highly
competitive on general image-based tasks (Figure 1). Furthermore, we develop
and release the \textbf{KC-MMBench}, a new benchmark tailored for real-world
short-video scenarios, where Keye-VL shows a significant advantage.",2025-07-02,2025,cs.CV,http://arxiv.org/pdf/2507.01949v1,2507.01949v1,arxiv,0,arXiv preprint
Deep BSVIEs Parametrization and Learning-Based Applications,"Nacira Agram, Giulia Pucci","We study the numerical approximation of backward stochastic Volterra integral
equations (BSVIEs) and their reflected extensions, which naturally arise in
problems with time inconsistency, path dependent preferences, and recursive
utilities with memory. These equations generalize classical BSDEs by involving
two dimensional time structures and more intricate dependencies.
  We begin by developing a well posedness and measurability framework for
BSVIEs in product probability spaces. Our approach relies on a representation
of the solution as a parametrized family of backward stochastic equations
indexed by the initial time, and draws on results of Stricker and Yor to ensure
that the two parameter solution is well defined in a joint measurable sense.
  We then introduce a discrete time learning scheme based on a recursive
backward representation of the BSVIE, combining the discretization of Hamaguchi
and Taguchi with deep neural networks. A detailed convergence analysis is
provided, generalizing the framework of deep BSDE solvers to the two
dimensional BSVIE setting. Finally, we extend the solver to reflected BSVIEs,
motivated by applications in delayed recursive utility with lower constraints.",2025-07-02,2025,math.PR,http://arxiv.org/pdf/2507.01948v1,2507.01948v1,arxiv,0,arXiv preprint
Characterizing control between interacting subsystems with deep Jacobian estimation,"Adam J. Eisen, Mitchell Ostrow, Sarthak Chandra, Leo Kozachkov, Earl K. Miller, Ila R. Fiete","Biological function arises through the dynamical interactions of multiple
subsystems, including those between brain areas, within gene regulatory
networks, and more. A common approach to understanding these systems is to
model the dynamics of each subsystem and characterize communication between
them. An alternative approach is through the lens of control theory: how the
subsystems control one another. This approach involves inferring the
directionality, strength, and contextual modulation of control between
subsystems. However, methods for understanding subsystem control are typically
linear and cannot adequately describe the rich contextual effects enabled by
nonlinear complex systems. To bridge this gap, we devise a data-driven
nonlinear control-theoretic framework to characterize subsystem interactions
via the Jacobian of the dynamics. We address the challenge of learning
Jacobians from time-series data by proposing the JacobianODE, a deep learning
method that leverages properties of the Jacobian to directly estimate it for
arbitrary dynamical systems from data alone. We show that JacobianODEs
outperform existing Jacobian estimation methods on challenging systems,
including high-dimensional chaos. Applying our approach to a multi-area
recurrent neural network (RNN) trained on a working memory selection task, we
show that the ""sensory"" area gains greater control over the ""cognitive"" area
over learning. Furthermore, we leverage the JacobianODE to directly control the
trained RNN, enabling precise manipulation of its behavior. Our work lays the
foundation for a theoretically grounded and data-driven understanding of
interactions among biological subsystems.",2025-07-02,2025,"q-bio.QM, cs.LG, math.DS, q-bio.NC",http://arxiv.org/pdf/2507.01946v1,2507.01946v1,arxiv,0,arXiv preprint
ML-Driven Strong Lens Discoveries: Down to $θ_E \sim 0.03''$ and $M_\mathrm{halo}< 10^{11} M_\odot$,"Ethan Silver, R. Wang, Xiaosheng Huang, A. Bolton, C. Storfer, S. Banka","We present results on extending the strong lens discovery space down to much
smaller Einstein radii ($\theta_E\lesssim0.03''$) and much lower halo mass
($M_\mathrm{halo}<10^{11}M_\odot$) through the combination of JWST observations
and machine learning (ML) techniques. First, we forecast detectable strong
lenses with JWST using CosmoDC2 as the lens catalog, and a source catalog down
to 29th magnitude. By further incorporating the VELA hydrodynamical simulations
of high-redshift galaxies, we simulate strong lenses. We train a ResNet on
these images, achieving near-100\% completeness and purity for ``conventional""
strong lenses ($\theta_E\gtrsim 0.5''$), applicable to JWST, HST, the Roman
Space Telescope and Euclid VIS. For the first time, we also search for very low
halo mass strong lenses ($M_{halo}<10^{11}M_\odot$) in simulations, with
$\theta_E\ll 0.5''$, down to the best resolution ($0.03''$) and depth
(10,000~sec) limits of JWST using ResNet. A U-Net model is employed to pinpoint
these small lenses in images, which are otherwise virtually impossible for
human detection. Our results indicate that JWST can find $\sim 17$/deg$^2$ such
low-halo-mass lenses, with the locations of $\sim 1.1$/deg$^2$ of these
detectable by the U-Net at $\sim100$\% precision (and $\sim 7.0$/deg$^2$ at a
99.0\% precision). To validate our model for finding ``conventional"" strong
lenses, we apply it to HST images, discovering two new strong lens candidates
previously missed by human classifiers in a crowdsourcing project (Garvin et
al. 2022). This study demonstrates the (potentially ``superhuman"") advantages
of ML combined with current and future space telescopes for detecting
conventional, and especially, low-halo-mass strong lenses, which are critical
for testing CDM models.",2025-07-02,2025,"astro-ph.CO, astro-ph.GA",http://arxiv.org/pdf/2507.01943v1,2507.01943v1,arxiv,0,arXiv preprint
SpecCLIP: Aligning and Translating Spectroscopic Measurements for Stars,"Xiaosheng Zhao, Yang Huang, Guirong Xue, Xiao Kong, Jifeng Liu, Xiaoyu Tang, Timothy C. Beers, Yuan-Sen Ting, A-Li Luo","In recent years, large language models (LLMs) have transformed natural
language understanding through vast datasets and large-scale parameterization.
Inspired by this success, we present SpecCLIP, a foundation model framework
that extends LLM-inspired methodologies to stellar spectral analysis. Stellar
spectra, akin to structured language, encode rich physical and chemical
information about stars. By training foundation models on large-scale spectral
datasets, our goal is to learn robust and informative embeddings that support
diverse downstream applications. As a proof of concept, SpecCLIP involves
pre-training on two spectral types--LAMOST low-resolution and Gaia XP--followed
by contrastive alignment using the CLIP (Contrastive Language-Image
Pre-training) framework, adapted to associate spectra from different
instruments. This alignment is complemented by auxiliary decoders that preserve
spectrum-specific information and enable translation (prediction) between
spectral types, with the former achieved by maximizing mutual information
between embeddings and input spectra. The result is a cross-spectrum framework
enabling intrinsic calibration and flexible applications across instruments. We
demonstrate that fine-tuning these models on moderate-sized labeled datasets
improves adaptability to tasks such as stellar-parameter estimation and
chemical-abundance determination. SpecCLIP also enhances the accuracy and
precision of parameter estimates benchmarked against external survey data.
Additionally, its similarity search and cross-spectrum prediction capabilities
offer potential for anomaly detection. Our results suggest that contrastively
trained foundation models enriched with spectrum-aware decoders can advance
precision stellar spectroscopy.",2025-07-02,2025,"astro-ph.IM, astro-ph.SR, cs.AI, cs.LG",http://arxiv.org/pdf/2507.01939v1,2507.01939v1,arxiv,0,arXiv preprint
A first-order method for nonconvex-nonconcave minimax problems under a local Kurdyka-Łojasiewicz condition,"Zhaosong Lu, Xiangyuan Wang","We study a class of nonconvex-nonconcave minimax problems in which the inner
maximization problem satisfies a local Kurdyka-{\L}ojasiewicz (KL) condition
that may vary with the outer minimization variable. In contrast to the global
KL or Polyak-{\L}ojasiewicz (PL) conditions commonly assumed in the literature
-- which are significantly stronger and often too restrictive in practice --
this local KL condition accommodates a broader range of practical scenarios.
However, it also introduces new analytical challenges. In particular, as an
optimization algorithm progresses toward a stationary point of the problem, the
region over which the KL condition holds may shrink, resulting in a more
intricate and potentially ill-conditioned landscape. To address this challenge,
we show that the associated maximal function is locally H\""older smooth.
Leveraging this key property, we develop an inexact proximal gradient method
for solving the minimax problem, where the inexact gradient of the maximal
function is computed by applying a proximal gradient method to a KL-structured
subproblem. Under mild assumptions, we establish complexity guarantees for
computing an approximate stationary point of the minimax problem.",2025-07-02,2025,"math.OC, cs.LG, cs.NA, math.NA, stat.ML, 90C26, 90C30, 90C47, 90C99, 65K05",http://arxiv.org/pdf/2507.01932v1,2507.01932v1,arxiv,0,arXiv preprint
Adaptability of ASR Models on Low-Resource Language: A Comparative Study of Whisper and Wav2Vec-BERT on Bangla,"Md Sazzadul Islam Ridoy, Sumi Akter, Md. Aminur Rahman","In recent years, neural models trained on large multilingual text and speech
datasets have shown great potential for supporting low-resource languages. This
study investigates the performances of two state-of-the-art Automatic Speech
Recognition (ASR) models, OpenAI's Whisper (Small & Large-V2) and Facebook's
Wav2Vec-BERT on Bangla, a low-resource language. We have conducted experiments
using two publicly available datasets: Mozilla Common Voice-17 and OpenSLR to
evaluate model performances. Through systematic fine-tuning and hyperparameter
optimization, including learning rate, epochs, and model checkpoint selection,
we have compared the models based on Word Error Rate (WER), Character Error
Rate (CER), Training Time, and Computational Efficiency. The Wav2Vec-BERT model
outperformed Whisper across all key evaluation metrics, demonstrated superior
performance while requiring fewer computational resources, and offered valuable
insights to develop robust speech recognition systems in low-resource
linguistic settings.",2025-07-02,2025,"cs.CL, cs.AI, cs.SD, eess.AS",http://arxiv.org/pdf/2507.01931v1,2507.01931v1,arxiv,0,arXiv preprint
IC-Custom: Diverse Image Customization via In-Context Learning,"Yaowei Li, Xiaoyu Li, Zhaoyang Zhang, Yuxuan Bian, Gan Liu, Xinyuan Li, Jiale Xu, Wenbo Hu, Yating Liu, Lingen Li, Jing Cai, Yuexian Zou, Yancheng He, Ying Shan","Image customization, a crucial technique for industrial media production,
aims to generate content that is consistent with reference images. However,
current approaches conventionally separate image customization into
position-aware and position-free customization paradigms and lack a universal
framework for diverse customization, limiting their applications across various
scenarios. To overcome these limitations, we propose IC-Custom, a unified
framework that seamlessly integrates position-aware and position-free image
customization through in-context learning. IC-Custom concatenates reference
images with target images to a polyptych, leveraging DiT's multi-modal
attention mechanism for fine-grained token-level interactions. We introduce the
In-context Multi-Modal Attention (ICMA) mechanism with learnable task-oriented
register tokens and boundary-aware positional embeddings to enable the model to
correctly handle different task types and distinguish various inputs in
polyptych configurations. To bridge the data gap, we carefully curated a
high-quality dataset of 12k identity-consistent samples with 8k from real-world
sources and 4k from high-quality synthetic data, avoiding the overly glossy and
over-saturated synthetic appearance. IC-Custom supports various industrial
applications, including try-on, accessory placement, furniture arrangement, and
creative IP customization. Extensive evaluations on our proposed ProductBench
and the publicly available DreamBench demonstrate that IC-Custom significantly
outperforms community workflows, closed-source models, and state-of-the-art
open-source approaches. IC-Custom achieves approximately 73% higher human
preference across identity consistency, harmonicity, and text alignment
metrics, while training only 0.4% of the original model parameters. Project
page: https://liyaowei-stu.github.io/project/IC_Custom",2025-07-02,2025,cs.CV,http://arxiv.org/pdf/2507.01926v1,2507.01926v1,arxiv,0,arXiv preprint
